scenario,label,total_pv_production_kwh,useful_pv_direct_kwh,useful_pv_delivered_kwh,additional_useful_pv_kwh,additional_useful_pv_pct_of_total_pv,useful_self_consumption_pct_before,useful_self_consumption_pct_after,useful_self_consumption_change_pp,grid_import_kwh,grid_export_kwh,annual_peak_kw,annual_peak_reduction_kw,annual_peak_reduction_pct,baseline_average_monthly_peak_kw,average_monthly_peak_kw,average_monthly_peak_reduction_kw,average_monthly_peak_reduction_pct,average_monthly_peak_n_complete_months,sum_monthly_peaks_kw,charge_pv_kwh,discharge_load_kwh,battery_discharge_to_grid_kwh,total_loss_kwh,stored_throughput_kwh,equivalent_full_cycles,max_equivalent_full_cycles_per_year,selected_period_year_fraction,allowed_equivalent_full_cycles,remaining_equivalent_full_cycles_allowance,cycle_limit_binding,soc_initial_kwh,soc_final_kwh,direct_pv_customer_sales_mwh,direct_pv_customer_sales_eur,battery_customer_sales_mwh,battery_customer_sales_eur,total_customer_sales_mwh,total_customer_sales_eur,export_peak_mwh,export_peak_eur,export_offpeak_mwh,export_offpeak_eur,total_export_eur,total_energent_pv_revenue_eur,revenue_change_eur,revenue_change_pct,period_revenue_uplift_eur,annual_revenue_uplift_eur,simple_payback_years,payback_applicable,estimated_battery_capex_eur,extra_customer_sale_eur,foregone_export_eur,battery_grid_injection_revenue_eur,uplift_eur
no_battery,No battery,262982.28,40769.355,40769.355,0.0,0.0,15.50270041008086,15.50270041008086,0.0,54163.45,222212.92500000002,206.8,0.0,0.0,103.76666666666667,103.76666666666667,0.0,0.0,12,1245.2,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1.0,400.0,400.0,false,0.0,0.0,40.769355000000004,5300.01615,0.0,0.0,40.769355000000004,5300.01615,148.42025,8905.215,73.792675,2213.78025,11118.995250000002,16419.0114,-3.637978807091713e-12,-2.2157112377007743e-14,0.0,0.0,,false,,0.0,0.0,0.0,0.0
reference,Simple reference controller. Chronological; uses only the current quarter-hour.,262982.28,40769.355,64916.490562499996,24147.135562499996,9.18203901894074,15.50270041008086,24.6847394290216,9.18203901894074,30016.314437500005,195457.09612188363,206.8,0.0,0.0,103.76666666666667,85.35833333333333,18.40833333333333,17.740122068743975,12,1024.3,26755.82887811635,24147.135562499996,0.0,2608.6933156163464,50836.074868421056,254.18037434210527,400.0,1.0,400.0,145.81962565789473,false,0.0,0.0,40.769355000000004,5300.01615,24.147135562499997,3139.1276231249994,64.9164905625,8439.143773124999,130.63892153739613,7838.335292243766,64.81817458448754,1944.545237534626,9782.880529778393,18222.024302903395,1803.0129029033924,10.981251300570946,1803.0129029033924,1803.0129029033924,16.638816034921874,true,30000.0,3139.1276231249994,1336.114720221607,0.0,1803.0129029033926
self_consumption,Best-case self-consumption using the complete selected period in advance. Not a forecast or expected operational saving.,262982.28,40769.355,65447.23433524827,24677.879335248264,9.383856332543875,15.50270041008086,24.886556742624734,9.383856332543875,29485.570664751736,194869.01437922625,156.800000004,49.999999996000014,24.177949707930374,103.76666666666667,58.20080507884708,45.56586158781958,43.91184862301919,12,698.409660946165,27343.910620773706,24677.879335248264,0.0,2666.0312855254388,51953.43017947004,259.7671508973502,400.0,1.0,400.0,140.23284910264982,false,0.0,0.0,40.769355000000004,5300.01615,24.677879335248264,3208.124313582274,65.44723433524827,8508.140463582275,129.4609511520795,7767.657069124768,65.40806322714681,1962.2418968144043,9729.898965939172,18238.039429521446,1819.0280295214434,11.078791440034223,1819.0280295214434,1819.0280295214434,16.492324204532743,true,30000.0,3208.124313582274,1389.0962840608267,0.0,1819.0280295214475
peak_reduction,Best-case peak reduction using the complete selected period in advance. Not a forecast or expected operational saving.,262982.28,40769.355,65447.23433524967,24677.87933524967,9.383856332544408,15.50270041008086,24.886556742625267,9.383856332544408,29485.57066475033,194869.01437922474,156.800000004,49.999999996000014,24.177949707930374,103.76666666666667,58.200805082847076,45.56586158381959,43.911848619164395,12,698.4096609941649,27343.910620775263,24677.87933524967,0.0,2666.03128552559,51953.430179473,259.767150897365,400.0,1.0,400.0,140.23284910263502,false,0.0,0.0,40.769355000000004,5300.01615,24.677879335249667,3208.1243135824566,65.44723433524968,8508.140463582457,129.39516306343526,7763.7097838061145,65.47385131578947,1964.2155394736837,9727.925323279798,18236.06578686226,1817.0543868622553,11.066770968087976,1817.0543868622553,1817.0543868622553,16.51023778754631,true,30000.0,3208.1243135824566,1391.0699267201999,0.0,1817.054386862257
revenue,"Best-case Energent PV revenue using the complete selected period in advance. The battery first preserves the best achievable PV supply to the customer. Remaining flexibility may inject stored PV at the configured fixed tariff. The battery never charges from the grid. Not a forecast, profit, or NPV.",262982.28,40769.355,65447.23433524827,24677.879335248264,9.383856332543875,15.50270041008086,24.886556742624734,9.383856332543875,29485.570664751736,194846.8938506638,156.800000004,49.999999996000014,24.177949707930374,103.76666666666667,58.20080507884708,45.56586158781958,43.91184862301919,12,698.409660946165,27570.787836799085,24677.879335248264,204.756687462898,2688.1518140879125,52384.49688991824,261.9224844495912,400.0,1.0,400.0,138.07751555040878,false,0.0,0.0,40.769355000000004,5300.01615,24.677879335248264,3208.124313582274,65.44723433524827,8508.140463582275,132.1175950971601,7927.055705829606,62.72929875350371,1881.8789626051114,9808.934668434718,18317.07513201699,1898.063732016988,11.560158439362482,1898.063732016988,1898.063732016988,15.80558096862234,true,30000.0,3208.124313582274,1322.345982813056,12.28540124777388,1898.063732016992
dynamic_injection,"Dynamic injection tariff. The battery first preserves the best achievable PV supply to the customer. Remaining battery flexibility may inject stored PV at the supplied dynamic price. The battery never charges from the grid. Not a forecast, profit, or NPV.",262982.28,40769.355,65447.23433524827,24677.879335248264,9.383856332543875,15.50270041008086,24.886556742624734,9.383856332543875,29485.570664751736,193532.13167386717,156.800000004,49.999999996000014,24.177949707930374,103.76666666666667,58.20080507884708,45.56586158781958,43.91184862301919,12,698.409660946165,41055.52811163647,24677.879335248264,12374.734785503646,4002.913990884559,78005.50341210929,390.0275170605465,400.0,1.0,400.0,9.972482939453549,false,0.0,0.0,40.769355000000004,5300.01615,24.677879335248264,3208.124313582274,65.44723433524827,8508.140463582275,125.09488432885732,5965.965700695741,68.43724734500987,1290.6585021848375,7256.624202880579,15764.764666462854,-654.2467335371457,-3.984690171645448,-654.2467335371457,-654.2467335371457,,false,30000.0,3208.124313582274,1165.1363258893684,0.0,2042.9879876929058
